@RELATION TestingDataset

@ATTRIBUTE state {Tamil_Nadu}
@ATTRIBUTE year REAL
@ATTRIBUTE crop {Apple,Arecanut,Arhar/Tur,Ash_Gourd,Bajra,Banana,Beans_&_Mutter(Vegetable),Beet_Root,Ber,Bhindi,Bitter_Gourd,Black_pepper,Bottle_Gourd,Brinjal,Cabbage,Cardamom,Carrot,Cashewnut,Castor_seed,Cauliflower,Citrus_Fruit,Coconut,Coriander,Cotton(lint),Cucumber,Drum_Stick,Dry_chillies,Dry_ginger,Garlic,Gram,Grapes,Groundnut,Guar_seed,Horse-gram,Jack_Fruit,Jowar,Korra,Lab-Lab,Litchi,Maize,Mango,Mesta,Moong(Green_Gram),Onion,Orange,Other_Cereals_&_Millets,Other_Citrus_Fruit,Other_Fresh_Fruits,Other_Kharif_pulses,Other_Vegetables,Papaya,Peach,Pear,Pineapple,Plums,Pome_Fruit,Pome_Granet,Potato,Pulses_total,Pump_Kin,Ragi,Rapeseed_&Mustard,Redish,Ribed_Guard,Rice,Samai,Sannhamp,Sesamum,Small_millets,Snak_Guard,Sugarcane,Sunflower,Sweet_potato,Tapioca,Tobacco,Tomato,Total_foodgrain,Turmeric,Turnip,Urad,Varagu,Water_Melon,Wheat,Yam}
@ATTRIBUTE area REAL
@ATTRIBUTE rainfall(in_mm) REAL
@ATTRIBUTE production(in_tones) Numeric

@DATA
Tamil_Nadu,2009,Jowar,798,928.50,?
Tamil_Nadu,2009,Maize,10759,928.50,?
Tamil_Nadu,2009,Moong(Green_Gram),1845,928.50,?
Tamil_Nadu,2009,Onion,20,928.50,?
Tamil_Nadu,2009,Ragi,139,928.50,?
Tamil_Nadu,2009,Sesamum,3679,928.50,?
Tamil_Nadu,2009,Sugarcane,27482,928.50,?
Tamil_Nadu,2009,Sunflower,164,928.50,?
Tamil_Nadu,2009,Sweet_potato,7,928.50,?
Tamil_Nadu,2009,Tapioca,3080,928.50,?
Tamil_Nadu,2009,Tobacco,2,928.50,?
Tamil_Nadu,2009,Turmeric,202,928.50,?
Tamil_Nadu,2009,Urad,46083,928.50,?
Tamil_Nadu,2010,Arhar/Tur,115,1095.20,?
Tamil_Nadu,2010,Castor_seed,19,1095.20,?
Tamil_Nadu,2010,Cotton(lint),6242,1095.20,?
Tamil_Nadu,2010,Groundnut,9881,1095.20,?
Tamil_Nadu,2010,Horse-gram,22,1095.20,?
Tamil_Nadu,2010,Maize,12158,1095.20,?
Tamil_Nadu,2010,Moong(Green_Gram),2911,1095.20,?
Tamil_Nadu,2010,Ragi,150,1095.20,?
Tamil_Nadu,2010,Rice,115815,1095.20,?
Tamil_Nadu,2010,Sunflower,20,1095.20,?
Tamil_Nadu,2010,Urad,50098,1095.20,?
Tamil_Nadu,2010,Sugarcane,30798,1095.20,?
Tamil_Nadu,2011,Bajra,1669,926.50,?
Tamil_Nadu,2011,Cotton(lint),5581,926.50,?
Tamil_Nadu,2011,Groundnut,2811,926.50,?
Tamil_Nadu,2011,Jowar,30,926.50,?
Tamil_Nadu,2011,Maize,13016,926.50,?
Tamil_Nadu,2011,Ragi,43,926.50,?
Tamil_Nadu,2011,Rice,120983,926.50,?
Tamil_Nadu,2011,Bajra,110,926.50,?
Tamil_Nadu,2011,Cotton(lint),203,926.50,?
Tamil_Nadu,2011,Groundnut,6887,926.50,?
Tamil_Nadu,2011,Jowar,1,926.50,?
Tamil_Nadu,2011,Maize,331,926.50,?
Tamil_Nadu,2011,Ragi,25,926.50,?
Tamil_Nadu,2011,Arecanut,1,926.50,?
Tamil_Nadu,2011,Arhar/Tur,23,926.50,?
Tamil_Nadu,2011,Banana,4133,926.50,?
Tamil_Nadu,2011,Cashewnut,32261,926.50,?
Tamil_Nadu,2011,Castor_seed,2,926.50,?
Tamil_Nadu,2011,Coconut,2343,926.50,?
Tamil_Nadu,2011,Coriander,96,926.50,?
Tamil_Nadu,2011,Dry_chillies,103,926.50,?
Tamil_Nadu,2011,Horse-gram,3,926.50,?
Tamil_Nadu,2011,Moong(Green_Gram),3075,926.50,?
Tamil_Nadu,2011,Onion,17,926.50,?
Tamil_Nadu,2011,Small_millets,1854,926.50,?
Tamil_Nadu,2011,Sugarcane,31064,926.50,?
Tamil_Nadu,2011,Sunflower,8,926.50,?
Tamil_Nadu,2011,Sweet_potato,4,926.50,?
Tamil_Nadu,2011,Tapioca,3404,926.50,?
Tamil_Nadu,2011,Turmeric,722,926.50,?
Tamil_Nadu,2011,Urad,51938,926.50,?
Tamil_Nadu,2012,Arhar/Tur,28,636.10,?
Tamil_Nadu,2012,Castor_seed,21,636.10,?
Tamil_Nadu,2012,Cotton(lint),5067,636.10,?
Tamil_Nadu,2012,Groundnut,11002,636.10,?
Tamil_Nadu,2012,Horse-gram,3,636.10,?
Tamil_Nadu,2012,Maize,15171,636.10,?
Tamil_Nadu,2012,Moong(Green_Gram),3989,636.10,?
Tamil_Nadu,2012,Ragi,80,636.10,?
Tamil_Nadu,2012,Rice,111958,636.10,?
Tamil_Nadu,2012,Sunflower,15,636.10,?
Tamil_Nadu,2012,Urad,39034,636.10,?
Tamil_Nadu,2012,Sugarcane,30638,636.10,?
Tamil_Nadu,2013,Bajra,3361,741.90,?
Tamil_Nadu,2013,Castor_seed,3,741.90,?
Tamil_Nadu,2013,Cotton(lint),8243,741.90,?
Tamil_Nadu,2013,Groundnut,3354,741.90,?
Tamil_Nadu,2013,Horse-gram,13,741.90,?
Tamil_Nadu,2013,Jowar,66,741.90,?
Tamil_Nadu,2013,Maize,18993,741.90,?
Tamil_Nadu,2013,Moong(Green_Gram),212,741.90,?
Tamil_Nadu,2013,Onion,12,741.90,?
Tamil_Nadu,2013,Ragi,120,741.90,?
Tamil_Nadu,2013,Rice,127485,741.90,?
Tamil_Nadu,2013,Sunflower,7,741.90,?
Tamil_Nadu,2013,Urad,4915,741.90,?
Tamil_Nadu,2013,Bajra,198,741.90,?
Tamil_Nadu,2013,Cotton(lint),371,741.90,?
Tamil_Nadu,2013,Groundnut,8316,741.90,?
Tamil_Nadu,2013,Horse-gram,3,741.90,?
Tamil_Nadu,2013,Jowar,9,741.90,?
Tamil_Nadu,2013,Maize,1527,741.90,?
Tamil_Nadu,2013,Moong(Green_Gram),11017,741.90,?
Tamil_Nadu,2013,Onion,5,741.90,?
Tamil_Nadu,2013,Ragi,79,741.90,?
Tamil_Nadu,2013,Sunflower,22,741.90,?
Tamil_Nadu,2013,Urad,47422,741.90,?
Tamil_Nadu,2013,Arhar/Tur,315,741.90,?
Tamil_Nadu,2013,Banana,4251,741.90,?
Tamil_Nadu,2013,Cashewnut,30146,741.90,?
Tamil_Nadu,2013,Coconut,1881,741.90,?
Tamil_Nadu,2013,Coriander,34,741.90,?
Tamil_Nadu,2013,Dry_chillies,128,741.90,?
Tamil_Nadu,2013,Small_millets,1568,741.90,?
Tamil_Nadu,2013,Sugarcane,30304,741.90,?
Tamil_Nadu,2013,Sweet_potato,30,741.90,?
Tamil_Nadu,2013,Tapioca,3252,741.90,?
Tamil_Nadu,2013,Turmeric,355,741.90,?
Tamil_Nadu,1997,Banana,1354,950.50,?
Tamil_Nadu,1997,Horse-gram,39102,950.50,?
Tamil_Nadu,1997,Onion,1132,950.50,?
Tamil_Nadu,1997,Sesamum,729,950.50,?
Tamil_Nadu,1997,Arhar/Tur,9409,950.50,?
Tamil_Nadu,1997,Bajra,2669,950.50,?
Tamil_Nadu,1997,Banana,1871,950.50,?
Tamil_Nadu,1997,Cashewnut,19,950.50,?
Tamil_Nadu,1997,Castor_seed,3120,950.50,?
Tamil_Nadu,1997,Coriander,334,950.50,?
Tamil_Nadu,1997,Cotton(lint),25630,950.50,?
Tamil_Nadu,1997,Dry_chillies,1045,950.50,?
Tamil_Nadu,1997,Dry_ginger,13,950.50,?
Tamil_Nadu,1997,Garlic,1,950.50,?
Tamil_Nadu,1997,Gram,168,950.50,?
Tamil_Nadu,1997,Groundnut,74354,950.50,?
Tamil_Nadu,1997,Jowar,22103,950.50,?
Tamil_Nadu,1997,Maize,358,950.50,?
Tamil_Nadu,1997,Moong(Green_Gram),915,950.50,?
Tamil_Nadu,1997,Onion,382,950.50,?
Tamil_Nadu,1997,Potato,144,950.50,?
Tamil_Nadu,1997,Pulses_total,65383,950.50,?
Tamil_Nadu,1997,Ragi,54240,950.50,?
Tamil_Nadu,1997,Rapeseed_&Mustard,538,950.50,?
Tamil_Nadu,1997,Rice,64393,950.50,?
Tamil_Nadu,1997,Small_millets,1530,950.50,?
Tamil_Nadu,1997,Sugarcane,18938,950.50,?
Tamil_Nadu,1997,Sunflower,818,950.50,?
Tamil_Nadu,1997,Tapioca,15842,950.50,?
Tamil_Nadu,1997,Tobacco,19,950.50,?
Tamil_Nadu,1997,Total_foodgrain,235952,950.50,?
Tamil_Nadu,1997,Turmeric,2075,950.50,?
Tamil_Nadu,1997,Urad,2039,950.50,?
Tamil_Nadu,1998,Arhar/Tur,20371,1079.70,?
Tamil_Nadu,1998,Bajra,9095,1079.70,?
Tamil_Nadu,1998,Cotton(lint),18964,1079.70,?
Tamil_Nadu,1998,Dry_ginger,1,1079.70,?
Tamil_Nadu,1998,Groundnut,88007,1079.70,?
Tamil_Nadu,1998,Horse-gram,65963,1079.70,?
Tamil_Nadu,1998,Jowar,25194,1079.70,?
Tamil_Nadu,1998,Maize,1124,1079.70,?
Tamil_Nadu,1998,Moong(Green_Gram),9023,1079.70,?
Tamil_Nadu,1998,Pulses_total,142266,1079.70,?
Tamil_Nadu,1998,Ragi,81628,1079.70,?
Tamil_Nadu,1998,Rice,57072,1079.70,?
Tamil_Nadu,1998,Sesamum,2135,1079.70,?
Tamil_Nadu,1998,Small_millets,18200,1079.70,?
