@RELATION TrainingDataset

@ATTRIBUTE state {Tamil_Nadu}
@ATTRIBUTE year REAL
@ATTRIBUTE crop {Apple,Arecanut,Arhar/Tur,Ash_Gourd,Bajra,Banana,Beans_&_Mutter(Vegetable),Beet_Root,Ber,Bhindi,Bitter_Gourd,Black_pepper,Bottle_Gourd,Brinjal,Cabbage,Cardamom,Carrot,Cashewnut,Castor_seed,Cauliflower,Citrus_Fruit,Coconut,Coriander,Cotton(lint),Cucumber,Drum_Stick,Dry_chillies,Dry_ginger,Garlic,Gram,Grapes,Groundnut,Guar_seed,Horse-gram,Jack_Fruit,Jowar,Korra,Lab-Lab,Litchi,Maize,Mango,Mesta,Moong(Green_Gram),Onion,Orange,Other_Cereals_&_Millets,Other_Citrus_Fruit,Other_Fresh_Fruits,Other_Kharif_pulses,Other_Vegetables,Papaya,Peach,Pear,Pineapple,Plums,Pome_Fruit,Pome_Granet,Potato,Pulses_total,Pump_Kin,Ragi,Rapeseed_&Mustard,Redish,Ribed_Guard,Rice,Samai,Sannhamp,Sesamum,Small_millets,Snak_Guard,Sugarcane,Sunflower,Sweet_potato,Tapioca,Tobacco,Tomato,Total_foodgrain,Turmeric,Turnip,Urad,Varagu,Water_Melon,Wheat,Yam}
@ATTRIBUTE area REAL
@ATTRIBUTE rainfall(in_mm) REAL
@ATTRIBUTE production(in_tones) Numeric

@DATA
Tamil_Nadu,2009,Rice,25978,928.50,80462
Tamil_Nadu,2009,Small_millets,404,928.50,649
Tamil_Nadu,2009,Arhar/Tur,160,928.50,122
Tamil_Nadu,2009,Bajra,644,928.50,1082
Tamil_Nadu,2009,Banana,134,928.50,5761
Tamil_Nadu,2009,Cashewnut,31188,928.50,9975
Tamil_Nadu,2009,Castor_seed,21,928.50,6
Tamil_Nadu,2009,Coconut,336,928.50,5200
Tamil_Nadu,2009,Coriander,338,928.50,134
Tamil_Nadu,2009,Cotton(lint),4074,928.50,11033
Tamil_Nadu,2009,Dry_chillies,1676,928.50,608
Tamil_Nadu,2009,Groundnut,13878,928.50,27002
Tamil_Nadu,2009,Jowar,4959,928.50,7043
Tamil_Nadu,2009,Maize,9979,928.50,23891
Tamil_Nadu,2009,Moong(Green_Gram),13,928.50,11
Tamil_Nadu,2009,Onion,47,928.50,458
Tamil_Nadu,2009,Ragi,47,928.50,130
Tamil_Nadu,2009,Sesamum,1652,928.50,452
Tamil_Nadu,2009,Sugarcane,6970,928.50,809944
Tamil_Nadu,2009,Sunflower,111,928.50,148
Tamil_Nadu,2009,Sweet_potato,2,928.50,29
Tamil_Nadu,2009,Tapioca,257,928.50,8858
Tamil_Nadu,2009,Turmeric,21,928.50,106
Tamil_Nadu,2009,Urad,1046,928.50,400
Tamil_Nadu,2010,Arhar/Tur,209,1095.20,138
Tamil_Nadu,2010,Castor_seed,27,1095.20,7
Tamil_Nadu,2010,Cotton(lint),5684,1095.20,9361
Tamil_Nadu,2010,Groundnut,12058,1095.20,37266
Tamil_Nadu,2010,Maize,9996,1095.20,8630
Tamil_Nadu,2010,Moong(Green_Gram),4,1095.20,2
Tamil_Nadu,2010,Ragi,42,1095.20,109
Tamil_Nadu,2010,Rice,25211,1095.20,97869
Tamil_Nadu,2010,Sunflower,202,1095.20,245
Tamil_Nadu,2010,Urad,1526,1095.20,741
Tamil_Nadu,2010,Sugarcane,7500,1095.20,739006
Tamil_Nadu,2011,Bajra,590,926.50,1499
Tamil_Nadu,2011,Cotton(lint),7661,926.50,36179
Tamil_Nadu,2011,Groundnut,9999,926.50,35766
Tamil_Nadu,2011,Jowar,1659,926.50,2114
Tamil_Nadu,2011,Maize,11778,926.50,60881
Tamil_Nadu,2011,Ragi,14,926.50,37
Tamil_Nadu,2011,Rice,24097,926.50,97257
Tamil_Nadu,2011,Bajra,6,926.50,18
Tamil_Nadu,2011,Cotton(lint),150,926.50,413
Tamil_Nadu,2011,Groundnut,3028,926.50,18093
Tamil_Nadu,2011,Jowar,15,926.50,22
Tamil_Nadu,2011,Maize,357,926.50,2374
Tamil_Nadu,2011,Ragi,3,926.50,9
Tamil_Nadu,2011,Arhar/Tur,192,926.50,167
Tamil_Nadu,2011,Banana,144,926.50,6292
Tamil_Nadu,2011,Cashewnut,29930,926.50,6468
Tamil_Nadu,2011,Castor_seed,38,926.50,8
Tamil_Nadu,2011,Coconut,323,926.50,2600000
Tamil_Nadu,2011,Coriander,75,926.50,35
Tamil_Nadu,2011,Dry_chillies,735,926.50,509
Tamil_Nadu,2011,Moong(Green_Gram),6,926.50,4
Tamil_Nadu,2011,Onion,26,926.50,329
Tamil_Nadu,2011,Small_millets,259,926.50,705
